ppm	X1	X2	X3	X4	X5	X6
11.68381	-25.363	-38.863	-48.908	0.05	33.557	-48.899
11.68338	-52.196	-38.052	70.795	-65.016	-19.889	-9.773
11.68296	-78.649	46.836	129.408	65.521	96.344	6.914
11.68253	-130.235	-88.771	105.584	85.453	193.959	7.046
11.6821	-21.192	-34.381	212.864	133.641	117.155	55.04
11.68168	-79.607	0.182	155.28	159.173	111.677	95.253
11.68125	-139.281	25.421	56.609	137.92	52.588	36.605
11.68082	6.915	-104.12	6.522	66.478	0.886	50.406
11.6804	-38.158	-170.233	-66.45	-96.784	-76.226	40.526
11.67997	26.556	-169.683	-67.808	-18.572	-162.157	-19.043
11.67954	98.256	-37.466	-39.917	-34.24	52.729	-57.151
11.67912	-41.159	57.923	-192.934	-64.156	68.044	-73.404
11.67869	-116.717	23.85	-104.152	-39.84	102.799	-77.19
11.67827	-72.907	87.414	48.907	-27.678	25.975	-53.315
11.67784	45.506	39.677	93.193	-60.066	-40.269	14.451
11.67741	2.38	121.469	-19.958	-76.181	-163.738	108.062
11.67699	60.109	53.017	-47.949	37.699	-121.824	114.963
11.67656	7.923	86.599	-20.939	1.616	-12.305	-67.432
11.67613	3.907	105.343	-21.881	-75.915	6.326	-130.143
11.67571	8.62	24.542	31.847	-54.089	55.058	-12.753
11.67528	-19.843	42.583	-70.382	4.182	-57.38	-64.245
11.67485	42.352	10.914	-5.032	62.897	39.033	29.965
11.67443	-41.405	-41.336	-29.292	-44.081	154.269	61.91
11.674	75.74	-133.16	-11.567	19.651	40.775	39.53
11.67357	146.284	-22.276	34.711	-2.347	5.562	67.762
11.67315	29.025	-4.786	11.832	-89.731	40.671	48.702
11.67272	39.058	42.36	-75.258	48.739	103.03	22.241
11.6723	-46.221	41.538	-18.613	-38.392	71.983	-50.123
11.67187	-121.143	-69.048	105.051	-114.624	-8.956	-74.331
11.67144	-17.624	82.52	147.212	39.385	-90.067	48.099
11.67102	16.366	25.25	125.614	-48.495	-121.602	74.816
11.67059	4.897	-24.365	33.637	39.692	-46.018	87.067
11.67016	48.363	3.677	57.022	32.86	-75.585	110.396
11.66974	51.5	40.064	75.477	106.547	-79.293	17.694
11.66931	79.782	53.173	-85.31	58.051	-25.998	-73.857
11.66888	-45.109	125.106	-144.85	-47.913	8.589	-126.997
11.66846	-51.491	87.457	-6.437	-39.632	-41.775	-25.033
11.66803	38.304	11.785	26.8	46.311	-48.876	74.271
11.66761	-37.967	-12.987	-33.938	34.212	-19.764	56.042
11.66718	-28.869	-40.392	22.864	-9.265	-114.977	85.545
11.66675	60.76	-8.788	26.862	11.369	-157.059	60.148
11.66633	-10.747	-9.435	34.798	-26.036	-88.815	-23.677
11.6659	59.476	-14.841	-64.208	71.393	35.316	62.281
11.66547	60.65	-60.46	-56.958	5.48	136.033	44.039
11.66505	-19.097	59.227	11.986	-41.961	158.365	-14.239
11.66462	-42.617	-72.338	51.261	-20.258	75.684	64.629
11.66419	-63.203	-131.969	44.236	-18.967	78.136	-48.882
11.66377	-37.777	-12.428	40.017	37.584	-37.765	-74.08
11.66334	66.859	-17.768	-93.392	6.188	56.611	-162.016
11.66292	42.918	50.331	-182.274	31.511	65.244	-240.943
11.66249	2.105	15.691	-119.632	106.334	26.329	-109.813
11.66206	-28.782	-66.74	-1.559	14.241	-42.409	-15.093
11.66164	-32.702	-30.865	-10.491	0.324	33.691	58.952
11.66121	-22.616	-47.323	-38.617	-59.134	65.245	41.194
11.66078	54.513	-12.805	1.805	-15.027	134.888	34.555
11.66036	-10.467	-20.317	-30.262	7.574	41.274	-5.994
11.65993	-18.738	-60.37	-12.903	-17.294	-7.59	45.663
11.6595	11.62	-80.876	40.244	15.435	-61.801	105.46
11.65908	-117.722	-97.812	-65.142	-35.878	-80.614	-28.689
11.65865	-89.093	-38.562	39.921	-23.006	-8.399	-7.794
11.65823	-51.432	-2.343	82.026	66.406	7.428	48.621
11.6578	2.44	72.453	49.052	-12.477	-84.635	41.932
11.65737	46.235	40.098	107.373	2.049	26.042	43.374
11.65695	53.411	109.958	9.741	54.06	126.405	16.749
11.65652	58.406	107.699	-6.446	-51.938	-0.374	-20.106
11.65609	68.957	47.776	44.363	-50.409	-24.126	-118.615
11.65567	-71.505	42.089	-7	8.379	-7.894	3.86
11.65524	-59.842	37.954	-167.505	-6.246	-148.099	-21.712
11.65481	32.891	-42.578	-81.208	-70.507	-151.621	-59.606
11.65439	64.965	111.794	24.346	-46.364	-96.514	-113.539
11.65396	85.039	75.862	44.481	60.547	21.085	-53.338
11.65353	-30.988	-11.685	2.487	42.575	9.992	100.366
11.65311	-40.819	42.801	-13.885	21.911	81.66	91.81
11.65268	-1.81	89.581	-48.537	-10.748	82.883	72.589
11.65226	-27.132	5.276	-69.705	67.976	18.361	54.424
11.65183	15.164	-23.474	70.198	32.194	27.376	23.376
11.6514	182.916	-188.119	113.644	-36.423	115.022	5.284
11.65098	20.481	-153.35	19.435	36.069	6.181	66.632
11.65055	-92.187	-1.969	-99.241	23.254	-5.527	133.142
11.65012	-13.355	-43.991	1.214	105.546	-58.707	3.685
11.6497	70.749	-108.611	58.374	-93.576	60.814	22.267
11.64927	-28.686	-66.218	-34.343	-157.963	134.875	34.87
11.64884	-90.93	-131.576	1.428	-25.882	-87.13	-27.626
11.64842	-28.811	-90.056	28.2	-51.253	-37.342	-58.702
11.64799	-22.012	67.892	-84.95	0.545	-40.043	5.66
11.64757	55.711	97.003	-21.015	-10.48	10.964	-15.946
11.64714	-50.518	12.883	25.189	-11.417	-86.804	6.174
11.64671	-8.764	69.853	53.029	43.29	-81.991	-107.034
11.64629	54.746	92.869	-3.817	32.049	-79.267	-77.962
11.64586	125.505	152.461	93.643	8.418	-17.998	-96.543
11.64543	151.395	133.367	85.206	21.731	93.501	-82.226
11.64501	-49.285	-10.953	47.492	-135.122	77.815	-109.836
11.64458	-137.436	-130.706	98.08	-13.056	50.302	-120.792
11.64415	61.821	-127.136	-4.606	60.81	100.944	-90.296
11.64373	86.245	-32.031	34.462	116.473	131.202	-53.21
11.6433	61.658	70.787	-34.663	130.39	118.998	132.928
11.64288	-133.431	133.435	-1.631	-42.544	-85.512	100.673
11.64245	-95.152	122.331	52.042	-20.649	-70.087	-19.534
11.64202	-44.777	4.982	57.908	-58.189	-50.735	-22.466
11.6416	2.02	-130.042	-52.661	65.192	78.49	-67.276
11.64117	94.054	-81.886	-60.806	21.425	-123.719	43.134
11.64074	-71.026	67.378	-85.868	30.625	-86.792	63.796
11.64032	-81.053	-37.772	-174.909	41.425	-88.427	65.191
11.63989	-52.89	-105.985	-184.438	-37.892	32.007	83.391
11.63946	-65.138	4.959	-84.915	-76.579	3.382	129.32
11.63904	33.284	2.508	9.914	-45.474	88.238	85.619
11.63861	130.546	64.828	-63.828	32.816	47.567	90.784
11.63818	110.798	116.877	-7.122	-75.442	31.732	-15.491
11.63776	13.875	79.631	-7.49	0.756	-110.002	-228.79
11.63733	-19.25	52.53	27.604	70.257	-184.476	-175.049
11.63691	-119.741	1.626	112.258	21.147	-115.001	47.305
11.63648	-62.187	-78.416	47.156	1.93	-75.029	19.877
11.63605	-80.041	-30.897	-2.221	-0.736	7.405	-1.893
11.63563	-10.461	-74.739	75.059	7.699	110.249	-47.429
11.6352	60.762	-79.305	66.773	-23.835	62.146	72.165
11.63477	44.66	-97.59	142.307	-27.512	101.614	152.271
11.63435	38.58	-40.888	182.52	-61.517	111.947	125.426
11.63392	69.146	-60.202	49.849	-0.012	-12.43	89.715
11.63349	50.377	10.297	7.171	-32.373	14.037	3.791
11.63307	45.9	21.509	-21.042	67.022	-119.632	30.074
11.63264	60.535	65.218	-60.347	53.829	-184.775	8.33
11.63222	33.338	6.249	-124.845	-27.505	-179.382	-77.099
11.63179	-7.208	-49.206	-82.841	86.064	-99.545	-221.562
11.63136	-9.853	28.532	-114.279	-64.167	49.72	-76.654
11.63094	-110.66	129.808	-99.373	-107.404	132.335	-20.263
11.63051	-106.895	18.329	-47.625	-45.327	106.676	-10.778
11.63008	-2.327	3.556	-55.232	-51.382	-12.939	-2.112
11.62966	35.619	9.754	-29.348	-86.712	52.83	15.465
11.62923	-20.721	-35.343	21.035	-95.688	-15.805	27.84
11.6288	-54.833	106.475	-88.884	-39.514	-31.555	-6.172
11.62838	-6.368	-7.43	-67.815	-64.485	-42.34	-57.912
11.62795	41.186	100.006	64.903	-55.329	-90.263	12.804
11.62753	84.115	39.505	15.942	-41.665	13.881	64.515
11.6271	105.523	-69.399	-2.11	71.123	111.128	131.675
11.62667	48.321	-10.369	152.8	100.404	92.904	46.625
11.62625	24.011	-26.043	130.616	51.454	134.776	39.747
11.62582	-73.184	-2.699	-22.909	42.054	118.131	-49.44
11.62539	-183.266	57.508	-84.855	-44.314	45.624	-16.575
11.62497	-30.286	-29.846	8.993	-48.104	-6.504	63.638
11.62454	-42.362	1.608	33.259	120.424	70.54	58.947
11.62411	-87.925	17.12	-22.138	167.984	85.416	-23.034
11.62369	-26.454	59.032	85.959	165.819	44.564	34.198
11.62326	-57.739	54.75	57.027	77.508	11.815	100.449
11.62284	-33.23	-89.266	110.361	28.428	-142.544	33.025
11.62241	7.133	-87.526	55.162	62.14	-13.102	32.526
11.62198	116.923	-139.863	45.636	32.276	52.659	1.718
11.62156	46.623	0.867	86.568	-77.531	-65.472	28.118
11.62113	30.757	-51.559	30.918	-79.973	-89.151	47.015
11.6207	68.711	-32.754	40.36	14.157	-41.233	52.018
11.62028	-7.113	129.903	95.818	-52.988	90.321	-15.951
11.61985	52.161	25.777	62.829	-96.37	79.367	-143.953
11.61942	64.125	71.777	28.954	-128.923	92.475	-189.442
11.619	-9.305	18.626	-4.22	-114.211	106.983	-210.227
11.61857	-73.173	26.53	-106.961	-78.684	72.404	-69.91
11.61814	61.558	-97.381	-157.795	13.561	-87.539	-40.283
11.61772	-15.932	12.821	-256.674	40.451	5.244	7.588
11.61729	102.603	135.096	-199.751	46.45	-181.044	92.051
11.61687	42.204	57.532	-124.341	113.139	-173.256	59.932
11.61644	30.79	-30.343	1.229	135.216	-78.817	-40.061
11.61601	-18.03	5.102	29.879	8.696	-80.325	-97.311
11.61559	-51.062	89.419	10.644	36.868	-25.127	-7.668
11.61516	-21.122	96.727	-17.648	82.217	35.53	31.078
11.61473	46.919	-42.774	-14.722	49.478	159.22	67.417
11.61431	-10.865	-128.326	48.583	60.754	111.003	35.263
11.61388	-5.609	-70.208	-5.24	50.754	40.05	-48.085
11.61345	-29.031	-10.434	-51.547	-98.793	10.092	-83.988
11.61303	-71.087	16.521	-28.946	-100.352	97.251	22.779
11.6126	13.156	-18.036	60.199	-53.884	-54.3	85.423
11.61218	-178.17	-14.762	31.507	-65.852	-83.52	48.47
11.61175	-173.203	5.753	75.39	-9.53	17.587	-52.159
11.61132	-153.927	52.5	69.465	-19.447	-24.923	86.927
11.6109	-40.876	-48.883	95.892	95.757	-131.516	123.416
11.61047	28.885	-121.513	-101.573	52.786	-26.47	34.998
11.61004	-62.481	-105.973	-79.763	5.142	100.949	-11.856
11.60962	-109.408	-155.264	9.523	24.606	99.749	41.602
11.60919	53.45	-107.038	-58.616	-31.311	-121.48	-126.294
11.60876	112.282	-20.357	-78.152	-83.909	-128.631	-41.624
11.60834	165.275	76.812	30.619	-141.549	-20.782	-61.568
11.60791	85.561	231.783	44.272	-265.738	-131.667	-24.883
11.60749	92.325	46.574	-59.032	-240.339	-94.104	7.514
11.60706	-41.99	-30.644	-51.965	-49.505	40.287	-47.621
11.60663	16.976	-9.589	54.071	-21.546	43.333	-10.604
11.60621	-31.299	-47.084	77.85	18.039	55.46	20.997
11.60578	-44.43	25.935	110.135	46.608	21.823	-12.752
11.60535	176.163	49.045	86.056	109.103	5.719	-47.224
11.60493	88.102	86.659	3.836	86.924	2.333	17.226
11.6045	67.874	8.704	-50.111	142.214	69.307	-129.74
11.60407	-20.645	-53.955	-57.787	82.657	34.455	-171.093
11.60365	-24.276	-33.712	25.641	15.013	-87.347	-125.02
11.60322	-39.27	8.784	-64.772	91.484	-20.45	99.679
11.60279	68.197	154.232	-57.087	102.842	71.859	-31.196
11.60237	-8.065	46.824	-121.941	34.214	-37.528	-7.48
11.60194	-104.978	-7.691	-68.68	34.718	-96.904	-141.591
11.60152	28.796	130.057	94.269	126.644	-2.374	-35.509
11.60109	-80.184	15.475	105.56	-65.209	-106.268	98.401
11.60066	-30.692	-49.897	201.884	-135.513	-24.271	15.943
11.60024	52.249	-25.438	118.448	-100.842	67.837	-49.106
11.59981	43.158	-95.952	95.458	-66.531	115.055	45.192
11.59938	-13.974	-43.104	-33.398	74.341	108.211	160.728
11.59896	11.711	-108.375	-89.794	47.551	33.583	147.019
11.59853	75.634	20.674	-12.091	17.039	139.853	6.555
11.5981	7.801	50.872	-5.948	110.251	70.064	62.586
11.59768	13.274	-45.215	-17.552	-39.462	-0.184	-3.127
11.59725	-30.931	39.794	-39.623	-12.752	-8.687	-84.444
11.59683	-19.247	25.123	15.096	100.296	-135.208	70.235
11.5964	-4.821	-46.032	-36.049	49.709	-189.424	130.846
11.59597	101.961	-113.991	-53.327	89.307	-37.728	-25.377
11.59555	37.755	75.262	-60.136	-8.156	106.658	-54.954
11.59512	4.152	140.748	-39.206	0.84	-67.832	-31.087
11.59469	-40.981	-24.636	47.085	-24.999	-94.822	-70.548
11.59427	-60.479	-78.776	-8.42	-58.002	77.235	141.273
11.59384	-68.982	46.747	44.863	-120.067	-20.432	79.286
11.59341	-126.284	-44.926	-9.381	-18.353	-97.481	100.086
11.59299	-62.482	-6.801	-14.008	116.849	-52.274	153.216
11.59256	38.931	60.587	57.098	33.404	-5.396	89.99
11.59214	41.895	42.732	46.467	-47.057	-17.201	-17.011
11.59171	46.003	11.526	-29.554	3.176	45.887	-61.946
11.59128	42.036	-9.5	16.375	-141.876	111.907	-59.55
11.59086	-57.087	40.225	61.573	-68.702	-1.076	3.743
11.59043	-137.744	-110.492	36.236	90.601	40.81	82.649
11.59	-106.79	146.453	101.677	-73.039	-18.448	-65.579
11.58958	-33.589	104.923	-0.661	-121.969	78.247	-220.489
11.58915	120.787	-29.515	-109.54	-78.295	92.387	-137.371
11.58872	71.34	14.53	-180.734	-78.194	71.122	-43.416
11.5883	157.006	-3.339	-12.148	15.738	-17.443	-51.297
11.58787	71.577	-100.267	60.175	101.405	90.952	-70.639
11.58745	-88.358	-24.797	8.095	80.192	115.052	-113.642
11.58702	-51.898	12.723	-75.132	-8.23	121.728	-6.429
11.58659	10.129	-25.508	-61.851	-147.626	85.549	162.097
11.58617	87.212	36.843	-122.395	-145.23	-102.955	41.325
11.58574	47.857	28.242	-66.128	-87.435	-107.963	-76.47
11.58531	-20.616	36.847	52.894	-9.639	-60.369	23.606
11.58489	-77.087	9.07	7.603	49.949	97.89	95.262
11.58446	-4.872	-50.084	-127.755	54.644	1.447	10.744
11.58403	26.42	29.308	-152.77	114.647	-5.742	127.185
11.58361	-3.246	65.161	-5.747	169.514	65.324	231.73
11.58318	-22.798	143.268	50.3	182.918	-61.667	119.524
11.58275	14.667	66.297	-14.435	251.252	-27.606	10.852
11.58233	70.019	3.943	-5.662	192.202	-30.44	-85.474
11.5819	80.436	-139.797	43.937	-8.906	-47.787	-165.444
11.58148	-70.774	-208.148	124.168	-28.292	39.193	-76.847
11.58105	-161.811	-60.52	110.156	-159.335	-15.824	167.517
11.58062	-116.517	-55.345	95.362	-206.181	31.616	179.18
11.5802	-23.227	-66.005	62.821	-33.965	-26.24	-27.034
11.57977	45.938	162.123	15.943	23.465	-149.902	-87.29
11.57934	31.905	72.672	-146.916	49.395	-153.486	5.779
11.57892	14.904	34.874	-102.615	92.786	-98.192	-41.492
11.57849	31.638	-55.697	71.889	64.475	-56.992	-96.471
11.57806	119.531	-80.795	57.114	25.042	52.808	-112.977
11.57764	140.657	21.129	16.786	5.587	187.048	82.254
11.57721	23.012	0.231	15.338	-64.221	163.368	126.515
11.57679	45.386	-64.969	-31.628	-43.212	-18.576	-40.12
11.57636	4.175	-117.08	-124.914	-88.954	-132.058	-99.621
11.57593	2.572	-3.429	-67.875	-70.472	-164.487	-34.114
11.57551	-57.69	33.864	-55.33	-16.993	14.933	-113.847
11.57508	-146.092	0.387	59.216	21.305	-54.735	-142.165
11.57465	-169.087	-73.151	83.01	25.039	21.246	32.829
11.57423	-2.945	-77.665	-4.678	-6.434	158.648	-94.404
11.5738	204.747	21.175	28.802	-75.567	163.221	-159.725
11.57337	72.678	7.081	33.912	-80.259	-16.792	52.929
11.57295	98.303	5.38	101.063	-40.073	48.236	-21.158
11.57252	30.729	-31.451	39.767	-92.283	-81.222	-11.976
11.5721	-76.488	-19.348	-42.053	-50.823	-61.507	171.474
11.57167	-86.261	-23.824	23.611	32.68	-33.539	172.596
11.57124	-85.215	116.281	35.793	19.757	6.131	107.482
11.57082	8.617	119.524	21.022	33.624	-6.286	-26.664
11.57039	53.821	34.448	33.788	68.103	-20.479	-40.302
11.56996	-47.629	11.663	67.737	-12.414	9.766	68.61
11.56954	-48.814	27.91	68.3	14.217	22.765	93.94
11.56911	-29.396	96.712	11.396	47.973	-85.715	-39.065
