Metabolite,pos_in_ppm,couple_code,J_constant,no_of_protons,overwrite_pos,overwrite_var,overwrite_truncation,Include_multiplet
2-Furoic acid,6.994,"1,1","3.43,0.79",1,n,n,n,1
2-Furoic acid,7.591,"1,1","1.74,0.80",1,n,n,n,1
2-Furoylglycine,3.94,1,5.93,2,n,n,n,1
2-Furoylglycine,6.64,"1,1","3.49,1.73 ",1,n,n,n,1
2-Furoylglycine,7.19,1,3.13,1,n,n,n,1
2-Furoylglycine,7.7,1,0.99,1,n,n,n,1
2-Heptanone,0.85,2,7.18,3,n,n,n,1
2-Heptanone,2.2,0,,3,n,n,n,1
2-Heptanone,2.54,2,7.4,2,n,n,n,1
2-Hydroxy-2-methylbutyric acid,1.48,0,0,1,n,n,n,1
2-Hydroxy-2-methylbutyric acid,0.95,2,7.44,1,n,n,n,1
2-Hydroxy-3-methylbutyric acid,0.84,1,6.88,3,n,n,n,1
2-Hydroxy-3-methylbutyric acid,0.97,1,6.98,3,n,n,n,1
2-Hydroxy-3-methylbutyric acid,3.85,1,3.73,1,n,n,n,1
2-Hydroxybutyric acid,0.886,2,7.47,3,n,n,n,1
2-Hydroxybutyric acid,3.991,"1,1","6.57,4.45",1,n,n,n,1
2-Hydroxycaproic acid,4.03,"1,1","7.20,4.28 ",11,n,n,n,1
2-Hydroxycaproic acid,0.89,2,7,24,n,n,n,1
2-Hydroxydecanedioic acid,2.18,2,7.5,15,n,n,n,1
2-Hydroxydecanedioic acid,4.01,"1,1","7.31,4.20",5,n,n,n,1
2-Hydroxyestrone,0.82,0,,3,n,n,n,1
2-Hydroxyestrone,6.41,0,,1,n,n,n,1
2-Hydroxyestrone,6.62,0,,1,n,n,n,1
2-Isopropylmalic acid,0.86,1,6.87,3,n,n,n,1
2-Isopropylmalic acid,0.91,1,6.92,3,n,n,n,1
2-Isopropylmalic acid,2.55,1,0,1,n,n,n,1
2-Isopropylmalic acid,2.67,1,0,1,n,n,n,1
2-Ketobutyric acid,2.76,3,7.31,2,n,n,n,1
2-Ketobutyric acid,1.07,2,7.31,3,n,n,n,1
2-Ketohexanoic acid,2.72,2,7.3,22,n,n,n,1
2-Ketohexanoic acid,0.88,2,7.37,33,n,n,n,1
2-Methoxyestradiol,0.67,0,,3,n,n,n,1
2-Methoxyestradiol,3.71,0,,3,n,n,n,1
2-Methoxyestradiol,6.44,0,,1,n,n,n,1
2-Methoxyestradiol,6.76,0,,1,n,n,n,1
2-Methoxyestrone,0.83,0,,3,n,n,n,1
2-Methoxyestrone,3.71,0,,3,n,n,n,1
2-Methoxyestrone,6.46,0,,1,n,n,n,1
2-Methoxyestrone,6.77,0,,1,n,n,n,1
2-Methyl-3-ketovaleric acid,0.88,2,7.47,3,n,n,n,1
2-Methyl-3-ketovaleric acid,1.09,1,7,3,n,n,n,1
2-Methylbutyroylcarnitine,0.87,"2,1","7.47,3.05",3,n,n,n,1
2-Methylbutyroylcarnitine,1.12,"1,1","9.96,7.01",3,n,n,n,1
2-Methylbutyroylcarnitine,1.5,"1,3","14.31,7.13",1,n,n,n,1
2-Methylbutyroylcarnitine,1.63,"1,3","17.39,3.63",1,n,n,n,1
2-Methylbutyroylcarnitine,3.18,0,,6,n,n,n,1
2-Methylbutyroylcarnitine,3.22,0,,3,n,n,n,1
2-Methylbutyroylcarnitine,3.64,1,14.39,1,n,n,n,1
2-Methylbutyroylcarnitine,3.89,"1,1","14.48,8.53",1,n,n,n,1
2-Methylbutyroylcarnitine,5.63,"1,1","13.65,6.75",1,n,n,n,1
2-Methylbutyrylglycine,4.1,1,5.08,14,n,n,n,1
2-Methylbutyrylglycine,1.18,1,6.86,20,n,n,n,1
2-Methylbutyrylglycine,0.94,2,7.43,18,n,n,n,1
2-Octenedioic acid,5.83,1,15.6,1,n,n,n,1
2-Octenoic acid,0.858,2,7.03,3,n,n,n,1
2-Octenoic acid,5.8,1,15.57,1,n,n,n,1
2-Octenoic acid,6.646,"1,2","15.56,6.99",1,n,n,n,1
2-Oxohexane,0.87,2,7.4,3,n,n,n,1
2-Oxohexane,2.55,2,7.43,2,n,n,n,1
2-Phenylaminoadenosine,8.09,0,,1,n,n,n,1
2-Phenylbutyric acid,3.41,2,7.76,8,n,n,n,1
2-Phenylbutyric acid,0.88,2,7.34,19,n,n,n,1
2-Pyrrolidinone,2.29,2,8.09,1,n,n,n,1
2-Pyrrolidinone,3.39,2,6.95,1,n,n,n,1
"2,2-Dimethylsuccinic acid",1.25,0,,2,n,n,n,1
"2,2-Dimethylsuccinic acid",2.66,0,,1,n,n,n,1
"2,3-Butanediol",1.13,1,5.9,7,n,n,n,1
"2,3-Diaminopropionic acid",3.92,"1,1","7.43,6.47 ",3,n,n,n,1
"2,3-Diaminopropionic acid",3.38,"1,1","6.93,3.18 ",7,n,n,n,1
"2,3-Dihydroxyvaleric acid",0.93,2,7.46,3,n,n,n,1
"2,3-Dihydroxyvaleric acid",4.06,1,3.63,1,n,n,n,1
"2,4-Dichlorophenol",6.99,1,8.8,1,n,n,n,1
"2,4-Dichlorophenol",7.2,1,8.75,1,n,n,n,1
"2,4-Dichlorophenol",7.43,1,2.53,1,n,n,n,1
"2,5-Furandicarboxylic acid",7.26,0,,2,n,n,n,1
3-Aminosalicylic acid,6.98,"1,1","7.64,1.28 ",10,n,n,n,1
3-Aminosalicylic acid,6.78,2,7.78,15,n,n,n,1
3-Chlorotyrosine,3.01,"1,1","14.80,7.62",1,n,n,n,1
3-Chlorotyrosine,3.14,"1,1","14.77,5.52",1,n,n,n,1
